algorithm,n,time
hashmap,167,0.3508119583129883
hashmap,235,0.3740696907043457
hashmap,235,0.3582417964935303
hashmap,235,0.40174126625061035
hashmap,235,0.34046196937561035
hashmap,235,0.4148852825164795
hashmap,332,0.4206724166870117
hashmap,332,0.43093419075012207
hashmap,332,0.39099955558776855
hashmap,332,0.39174556732177734
hashmap,332,0.401200532913208
hashmap,468,0.42751097679138184
hashmap,468,0.40598130226135254
hashmap,468,0.3755784034729004
hashmap,468,0.376251220703125
hashmap,468,0.43903231620788574
hashmap,660,0.46140313148498535
hashmap,660,0.46024012565612793
hashmap,660,0.4136385917663574
hashmap,660,0.46967601776123047
hashmap,660,0.440183162689209
hashmap,931,0.5253760814666748
hashmap,931,0.510176420211792
hashmap,931,0.5535526275634766
hashmap,931,0.5149149894714355
hashmap,931,0.5560116767883301
hashmap,1313,0.7054290771484375
hashmap,1313,0.6951084136962891
hashmap,1313,0.7115757465362549
hashmap,1313,0.6756424903869629
hashmap,1313,0.7006821632385254
hashmap,1852,1.081484317779541
hashmap,1852,1.0049607753753662
hashmap,1852,1.04608154296875
hashmap,1852,1.0527992248535156
hashmap,1852,1.0964291095733643
hashmap,2611,1.8062336444854736
hashmap,2611,1.8686792850494385
hashmap,2611,1.9837307929992676
hashmap,2611,1.8708922863006592
hashmap,2611,1.9527883529663086
hashmap,3682,3.8935601711273193
hashmap,3682,4.035041570663452
hashmap,3682,3.9686572551727295
hashmap,3682,4.007228374481201
hashmap,3682,4.012278079986572
hashmap,5192,7.568135499954224
hashmap,5192,8.184441566467285
hashmap,5192,7.255831003189087
hashmap,5192,7.809894323348999
hashmap,5192,7.133843183517456
hashmap,7321,16.083719491958618
hashmap,7321,15.315303087234497
hashmap,7321,15.22643494606018
hashmap,7321,15.527441024780273
hashmap,7321,14.798494815826416
